Code,Company,Market,Index
CBA,Commonwealth Bank of Australia,AU,ASX 200
WBC,Westpac Banking Corporation,AU,ASX 200
BHP,BHP Billiton Limited,AU,ASX 200
ANZ,Australia And New Zealand Banking Group Limited,AU,ASX 200
NAB,National Australia Bank Limited,AU,ASX 200
CSL,CSL Limited,AU,ASX 200
WES,Wesfarmers Limited,AU,ASX 200
TLS,Telstra Corporation Limited,AU,ASX 200
WOW,Woolworths Limited,AU,ASX 200
MQG,Macquarie Group Limited,AU,ASX 200
RIO,RIO Tinto Limited,AU,ASX 200
TCL,Transurban Group Stapled,AU,ASX 200
WPL,Woodside Petroleum Limited,AU,ASX 200
SCG,Scentre Group Stapled,AU,ASX 200
FMG,Fortescue Metals Group LTD,AU,ASX 200
AMC,Amcor Limited,AU,ASX 200
NCM,Newcrest Mining Limited,AU,ASX 200
SUN,Suncorp Group Limited,AU,ASX 200
AAPL,APPLE INC,US,RUSSELL 1000
MSFT,MICROSOFT CORP,US,RUSSELL 1000
FB,FACEBOOK CLASS A INC,US,RUSSELL 1000
AMZN,AMAZON COM INC,US,RUSSELL 1000
JNJ,JOHNSON & JOHNSON,US,RUSSELL 1000
BRKB,BERKSHIRE HATHAWAY INC CLASS B,US,RUSSELL 1000
XOM,EXXON MOBIL CORP,US,RUSSELL 1000
JPM,JPMORGAN CHASE & CO,US,RUSSELL 1000
GOOGL,ALPHABET INC CLASS A,US,RUSSELL 1000
GOOG,ALPHABET INC CLASS C,US,RUSSELL 1000
BAC,BANK OF AMERICA CORP,US,RUSSELL 1000
PG,PROCTER & GAMBLE,US,RUSSELL 1000
WFC,WELLS FARGO,US,RUSSELL 1000
T,AT&T INC,US,RUSSELL 1000
CVX,CHEVRON CORP,US,RUSSELL 1000
GE,GENERAL ELECTRIC,US,RUSSELL 1000
PFE,PFIZER INC,US,RUSSELL 1000
VZ,VERIZON COMMUNICATIONS INC,US,RUSSELL 1000
V,VISA INC CLASS A,US,RUSSELL 1000
C,CITIGROUP INC,US,RUSSELL 1000
HD,HOME DEPOT INC,US,RUSSELL 1000
UNH,UNITEDHEALTH GROUP INC,US,RUSSELL 1000
MRK,MERCK & CO INC,US,RUSSELL 1000
PM,PHILIP MORRIS INTERNATIONAL INC,US,RUSSELL 1000
KO,COCA-COLA,US,RUSSELL 1000
CMCSA,COMCAST A CORP,US,RUSSELL 1000
INTC,INTEL CORPORATION CORP,US,RUSSELL 1000
PEP,PEPSICO INC,US,RUSSELL 1000
DWDP,DOWDUPONT INC,US,RUSSELL 1000
CSCO,CISCO SYSTEMS INC,US,RUSSELL 1000
DIS,WALT DISNEY,US,RUSSELL 1000
BA,BOEING,US,RUSSELL 1000
ORCL,ORACLE CORP,US,RUSSELL 1000
ABBV,ABBVIE INC,US,RUSSELL 1000
AMGN,AMGEN INC,US,RUSSELL 1000
MA,MASTERCARD INC CLASS A,US,RUSSELL 1000
MCD,MCDONALDS CORP,US,RUSSELL 1000
IBM,INTERNATIONAL BUSINESS MACHINES CO,US,RUSSELL 1000
MMM,3M,US,RUSSELL 1000
MO,ALTRIA GROUP INC,US,RUSSELL 1000
WMT,WALMART STORES INC,US,RUSSELL 1000
MDT,MEDTRONIC PLC,US,RUSSELL 1000
CELG,CELGENE CORP,US,RUSSELL 1000
GILD,GILEAD SCIENCES INC,US,RUSSELL 1000
NVDA,NVIDIA CORP,US,RUSSELL 1000
HON,HONEYWELL INTERNATIONAL INC,US,RUSSELL 1000
BMY,BRISTOL MYERS SQUIBB,US,RUSSELL 1000
AVGO,BROADCOM LTD,US,RUSSELL 1000
SLB,SCHLUMBERGER NV,US,RUSSELL 1000
PCLN,THE PRICELINE GROUP INC,US,RUSSELL 1000
UNP,UNION PACIFIC CORP,US,RUSSELL 1000
ABT,ABBOTT LABORATORIES,US,RUSSELL 1000
TXN,TEXAS INSTRUMENT INC,US,RUSSELL 1000
UTX,UNITED TECHNOLOGIES CORP,US,RUSSELL 1000
ACN,ACCENTURE PLC CLASS A,US,RUSSELL 1000
CVS,CVS HEALTH CORP,US,RUSSELL 1000
USB,US BANCORP,US,RUSSELL 1000
GS,GOLDMAN SACHS GROUP INC,US,RUSSELL 1000
UPS,UNITED PARCEL SERVICE INC CLASS B,US,RUSSELL 1000
LLY,ELI LILLY,US,RUSSELL 1000
TWX,TIME WARNER INC,US,RUSSELL 1000
ADBE,ADOBE SYSTEM INC,US,RUSSELL 1000
QCOM,QUALCOMM INC,US,RUSSELL 1000
SBUX,STARBUCKS CORP,US,RUSSELL 1000
LMT,LOCKHEED MARTIN CORP,US,RUSSELL 1000
NFLX,NETFLIX INC,US,RUSSELL 1000
TMO,THERMO FISHER SCIENTIFIC INC,US,RUSSELL 1000
WBA,WALGREEN BOOTS ALLIANCE INC,US,RUSSELL 1000
PYPL,PAYPAL HOLDINGS INC,US,RUSSELL 1000
AGN,ALLERGAN,US,RUSSELL 1000
CAT,CATERPILLAR INC,US,RUSSELL 1000
COST,COSTCO WHOLESALE CORP,US,RUSSELL 1000
NKE,NIKE INC CLASS B,US,RUSSELL 1000
CHTR,CHARTER COMMUNICATIONS INC CLASS A,US,RUSSELL 1000
NEE,NEXTERA ENERGY INC,US,RUSSELL 1000
BIIB,BIOGEN INC INC,US,RUSSELL 1000
CB,CHUBB LTD,US,RUSSELL 1000
LOW,LOWES COMPANIES INC,US,RUSSELL 1000
AXP,AMERICAN EXPRESS,US,RUSSELL 1000
CRM,SALESFORCE.COM INC,US,RUSSELL 1000
PNC,PNC FINANCIAL SERVICES GROUP INC,US,RUSSELL 1000
MS,MORGAN STANLEY,US,RUSSELL 1000
CL,COLGATE-PALMOLIVE,US,RUSSELL 1000
DUK,DUKE ENERGY CORP,US,RUSSELL 1000
AMT,AMERICAN TOWER REIT CORP,US,RUSSELL 1000
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,US,RUSSELL 1000
COP,CONOCOPHILLIPS,US,RUSSELL 1000
