Code,Company,Market,Index,Price,SEDOL,ISIN,Exchange,Bloomberg,Tier,Currency,IndLoanRate,RepoRate,almRate,LCR,RWA,BorrowRate
KITE,KITE PHARMA INC,US,Russell 2000,179.5,BNB7PH2,US49803L1098,NASDAQ,KITE:US,3,USD,0.06,0.02,0.06,0.01,0.18,0.16
BLUE,BLUEBIRD BIO INC,US,Russell 2000,130.3,BBFL7S1,US09609G1004,NASDAQ,BLUE:US,3,USD,0.05,0.02,0.01,0.11,0.22,0.15
EXAS,EXACT SCIENCES CORP,US,Russell 2000,42.79,2719951,US30063P1057,NASDAQ,EXAS:US,3,USD,0.01,0.02,0.05,0.04,0.11,0.22
KNX,KNIGHT-SWIFT TRANSPORTATION HOLDIN,US,Russell 2000,40.09,BF0LKD0,US4990491049,New York Stock Exchange Inc.,KNX:US,3,USD,0.07,0.06,0.12,0.15,0.21,0.01
MKSI,MKS INSTRUMENTS INC,US,Russell 2000,91.7,2404871,US55306N1046,NASDAQ,MKSI:US,3,USD,0.05,0.19,0.08,0.01,0.02,0.12
CTLT,CATALENT INC,US,Russell 2000,38.72,BP96PQ4,US1488061029,New York Stock Exchange Inc.,CTLT:US,3,USD,0.09,0.07,0.19,0.11,0.16,0.13
AZPN,ASPEN TECHNOLOGY INC,US,Russell 2000,64.24,2051868,US0453271035,NASDAQ,AZPN:US,3,USD,0.07,0.07,0.15,0.19,0.15,0.16
BLKFDS,BLK CSH FND TREASURY SL AGENCY,US,Russell 2000,1,-,US0669224778,-,BLKFDS:US,3,USD,0.14,0.1,0.14,0.16,0.21,0.09
SFR,STARWOOD WAYPOINT HOMES,US,Russell 2000,36.97,BZ9NZY3,US85572F1057,New York Stock Exchange Inc.,SFR:US,3,USD,0.13,0.13,0.15,0.07,0.06,0.02
GRUB,GRUBHUB INC,US,Russell 2000,54.35,BKY7XF2,US4001101025,New York Stock Exchange Inc.,GRUB:US,3,USD,0.14,0.12,0.14,0.18,0.04,0.09
GPT,GRAMERCY PROPERTY REIT TRUST,US,Russell 2000,30.35,BZ6F133,US3850023082,New York Stock Exchange Inc.,GPT:US,3,USD,0.15,0.14,0.03,0.09,0.07,0.15
IDA,IDACORP INC,US,Russell 2000,89.11,2296937,US4511071064,New York Stock Exchange Inc.,IDA:US,3,USD,0.02,0.01,0.17,0.04,0.02,0.15
CW,CURTISS WRIGHT CORP,US,Russell 2000,101.54,2241205,US2315611010,New York Stock Exchange Inc.,CW:US,3,USD,0.2,0.06,0.04,0.08,0.01,0.06
PRXL,PAREXEL INTERNATIONAL CORP,US,Russell 2000,88,2671318,US6994621075,NASDAQ,PRXL:US,3,USD,0.12,0.09,0.19,0.07,0.16,0.08
MTG,MGIC INVESTMENT CORP,US,Russell 2000,11.84,2548616,US5528481030,New York Stock Exchange Inc.,MTG:US,3,USD,0.12,0.12,0.15,0.21,0.16,0.06
WGL,WGL HOLDINGS INC,US,Russell 2000,84.47,2942100,US92924F1066,New York Stock Exchange Inc.,WGL:US,3,USD,0.12,0.06,0.05,0.08,0.13,0.14
HLS,HEALTHSOUTH CORP,US,Russell 2000,43.65,B1G9B93,US4219243098,New York Stock Exchange Inc.,HLS:US,3,USD,0.11,0.06,0.16,0.16,0.12,0.07
LFUS,LITTELFUSE INC,US,Russell 2000,189.71,2531832,US5370081045,NASDAQ,LFUS:US,3,USD,0.06,0.08,0.1,0.14,0.07,0.14
MDSO,MEDIDATA SOLUTIONS INC,US,Russell 2000,75.57,B5424Q0,US58471A1051,NASDAQ,MDSO:US,3,USD,0.13,0.1,0.16,0.07,0.07,0.01
POR,PORTLAND GENERAL ELECTRIC,US,Russell 2000,46.57,B125XQ6,US7365088472,New York Stock Exchange Inc.,POR:US,3,USD,0.09,0.05,0.01,0.19,0.1,0.2
UMPQ,UMPQUA HOLDINGS CORP,US,Russell 2000,18.68,2484389,US9042141039,NASDAQ,UMPQ:US,3,USD,0.14,0.08,0.12,0.17,0.19,0.2
FICO,FAIR ISAAC CORP,US,Russell 2000,136.27,2330299,US3032501047,New York Stock Exchange Inc.,FICO:US,3,USD,0.12,0.18,0.06,0.04,0.07,0.21
